obs_id,user_study_id,respondent_id,task_label,completion_secs,error_count,nasa_tlx_score,satisfaction,noted_at
337,3,79,Report export,197.44,3,36.21,0.2901,2022-12-04 00:00:00
338,3,686,Anomaly identification,354.16,6,66.74,0.7019,2023-02-09 00:00:00
339,3,686,Recommendation acceptance,582.45,1,55.45,0.8874,2022-12-23 00:00:00
340,3,686,Model output interpretation,589.06,6,51.13,0.8611,2023-02-02 00:00:00
341,3,686,Search & filter,404.53,6,66.13,0.829,2022-12-17 00:00:00
342,3,183,Search & filter,393.17,6,18.31,0.5204,2023-01-26 00:00:00
343,3,183,Recommendation acceptance,550.61,5,64.11,0.795,2022-12-07 00:00:00
344,3,183,Report export,480.06,6,58.38,0.6801,2022-12-27 00:00:00
345,3,183,Model output interpretation,233.42,3,30.63,0.7913,2022-12-11 00:00:00
346,3,42,Model output interpretation,380.55,4,39.66,0.1368,2022-12-11 00:00:00
347,3,42,Recommendation acceptance,91.39,4,13.22,0.673,2023-01-31 00:00:00
348,3,42,Dashboard navigation,114.0,7,59.32,0.0964,2022-12-23 00:00:00
349,3,29,Recommendation acceptance,495.8,7,35.27,0.9357,2023-01-08 00:00:00
350,3,29,Search & filter,298.75,0,14.67,0.1741,2023-01-02 00:00:00
351,3,29,Alert triage,85.05,1,80.13,0.9683,2022-12-06 00:00:00
352,3,265,Anomaly identification,442.49,0,70.71,0.0354,2022-12-28 00:00:00
353,3,265,Report export,325.46,6,77.76,0.8569,2022-12-18 00:00:00
354,3,265,Model output interpretation,281.95,1,46.14,0.0386,2022-12-05 00:00:00
355,3,265,Onboarding flow,260.47,2,24.02,0.7541,2023-01-05 00:00:00
356,3,583,Model output interpretation,16.07,7,40.71,0.2158,2023-01-23 00:00:00
357,3,583,Dashboard navigation,241.26,1,44.73,0.3633,2022-12-16 00:00:00
358,3,583,Recommendation acceptance,366.95,8,79.12,0.4725,2023-01-22 00:00:00
359,3,583,Alert triage,392.24,6,46.27,0.8463,2023-01-23 00:00:00
360,3,583,Report export,283.57,2,32.89,0.0987,2023-01-19 00:00:00
361,3,18,Recommendation acceptance,208.82,8,35.59,0.9381,2022-12-17 00:00:00
362,3,18,Anomaly identification,158.23,8,38.53,0.3258,2023-02-03 00:00:00
363,3,18,Checkout completion,132.23,2,53.59,0.2836,2023-02-07 00:00:00
364,3,18,Model output interpretation,490.61,3,68.6,0.0491,2023-02-07 00:00:00
365,3,17,Report export,51.72,4,42.03,0.0014,2022-12-14 00:00:00
366,3,17,Recommendation acceptance,572.48,3,77.95,0.3376,2023-01-21 00:00:00
367,3,335,Dashboard navigation,84.15,7,52.77,0.3485,2023-01-30 00:00:00
368,3,335,Anomaly identification,336.16,2,42.07,0.184,2022-12-28 00:00:00
369,3,335,Onboarding flow,175.41,6,49.39,0.1791,2023-01-09 00:00:00
370,3,335,Recommendation acceptance,93.97,5,12.3,0.0365,2022-12-03 00:00:00
371,3,335,Alert triage,525.26,8,35.51,0.4758,2023-01-13 00:00:00
372,3,286,Model output interpretation,540.61,2,73.57,0.3434,2023-01-06 00:00:00
373,3,286,Anomaly identification,183.24,5,32.09,0.1047,2023-01-22 00:00:00
374,3,286,Checkout completion,561.72,8,52.66,0.0499,2022-12-22 00:00:00
375,3,762,Search & filter,245.54,5,19.89,0.5903,2023-01-16 00:00:00
376,3,762,Report export,317.16,1,77.11,0.2053,2022-12-02 00:00:00
377,3,762,Anomaly identification,534.84,1,31.28,0.5027,2023-01-11 00:00:00
378,3,762,Recommendation acceptance,477.14,1,87.23,0.735,2022-12-11 00:00:00
379,3,759,Dashboard navigation,252.38,8,49.48,0.1226,2022-12-16 00:00:00
380,3,759,Search & filter,179.34,0,47.4,0.5824,2022-12-14 00:00:00
381,3,759,Checkout completion,114.92,3,26.1,0.2618,2022-12-14 00:00:00
382,3,278,Onboarding flow,93.43,6,85.46,0.5098,2022-12-15 00:00:00
383,3,278,Search & filter,453.74,0,58.2,0.8589,2023-01-26 00:00:00
384,3,278,Model output interpretation,289.41,6,76.39,0.405,2023-01-14 00:00:00
385,3,647,Checkout completion,67.04,6,38.18,0.2501,2023-02-04 00:00:00
386,3,647,Recommendation acceptance,442.16,6,32.54,0.7402,2023-01-31 00:00:00
387,3,540,Dashboard navigation,261.06,3,23.06,0.6987,2023-01-11 00:00:00
388,3,540,Report export,492.66,2,26.32,0.1523,2023-02-10 00:00:00
389,3,219,Model output interpretation,583.21,4,28.01,0.8209,2022-12-22 00:00:00
390,3,219,Dashboard navigation,129.4,1,60.18,0.1632,2023-01-16 00:00:00
391,3,219,Search & filter,108.0,7,27.73,0.0157,2022-12-13 00:00:00
392,3,219,Checkout completion,100.85,1,28.98,0.1964,2023-01-10 00:00:00
393,3,219,Report export,414.32,5,45.87,0.0618,2023-01-22 00:00:00
394,3,339,Onboarding flow,174.05,5,31.68,0.0129,2023-01-29 00:00:00
395,3,339,Search & filter,298.09,3,77.51,0.1214,2023-01-28 00:00:00
396,3,339,Recommendation acceptance,423.45,5,83.33,0.3892,2022-12-08 00:00:00
397,3,133,Search & filter,259.91,0,29.85,0.0056,2023-01-02 00:00:00
398,3,133,Anomaly identification,61.91,7,76.63,0.5545,2023-01-24 00:00:00
399,3,675,Recommendation acceptance,26.46,6,82.79,0.789,2023-01-15 00:00:00
400,3,675,Dashboard navigation,347.81,1,74.65,0.994,2023-01-13 00:00:00
401,3,675,Report export,265.62,2,84.84,0.3537,2022-12-15 00:00:00
402,3,675,Onboarding flow,566.87,1,79.61,0.9568,2023-01-06 00:00:00
403,3,675,Anomaly identification,496.77,2,19.43,0.156,2022-12-02 00:00:00
404,3,541,Alert triage,21.79,3,20.84,0.1366,2023-01-13 00:00:00
405,3,541,Checkout completion,421.98,4,67.8,0.6871,2022-12-05 00:00:00
406,3,541,Onboarding flow,195.37,1,22.35,0.0077,2023-02-08 00:00:00
407,3,541,Model output interpretation,141.3,8,28.76,0.9132,2023-02-10 00:00:00
408,3,541,Search & filter,526.95,8,88.52,0.1046,2023-01-19 00:00:00
409,3,299,Onboarding flow,475.43,5,77.32,0.9207,2023-01-28 00:00:00
410,3,299,Report export,314.92,8,16.07,0.5971,2023-01-11 00:00:00
411,3,660,Search & filter,509.03,8,76.51,0.7152,2023-01-18 00:00:00
412,3,660,Recommendation acceptance,574.08,7,25.42,0.8605,2022-12-11 00:00:00
413,3,660,Report export,221.18,3,85.4,0.0573,2022-12-16 00:00:00
414,3,660,Alert triage,165.24,2,18.3,0.2788,2023-01-30 00:00:00
415,3,660,Onboarding flow,105.95,6,80.83,0.6617,2022-12-26 00:00:00
416,3,144,Alert triage,92.28,0,23.18,0.0358,2022-12-07 00:00:00
417,3,144,Model output interpretation,466.94,2,33.46,0.7876,2022-12-28 00:00:00
418,3,144,Dashboard navigation,230.5,3,79.36,0.0954,2022-12-24 00:00:00
419,3,144,Recommendation acceptance,399.44,0,33.65,0.3544,2022-12-28 00:00:00
420,3,144,Anomaly identification,86.75,5,20.52,0.8889,2023-01-18 00:00:00
421,3,462,Alert triage,161.39,6,22.5,0.1694,2023-02-06 00:00:00
422,3,462,Onboarding flow,328.06,1,27.35,0.8576,2022-11-26 00:00:00
423,3,462,Model output interpretation,476.81,4,78.27,0.8047,2022-12-01 00:00:00
424,3,462,Recommendation acceptance,219.82,5,12.7,0.8285,2022-12-15 00:00:00
425,3,462,Report export,280.62,0,54.69,0.0521,2023-01-02 00:00:00
426,3,402,Report export,303.38,5,32.9,0.9113,2023-02-03 00:00:00
427,3,402,Onboarding flow,155.5,0,16.24,0.2664,2023-01-10 00:00:00
428,3,402,Alert triage,290.07,6,47.97,0.2617,2022-12-27 00:00:00
429,3,402,Dashboard navigation,529.24,1,32.82,0.2353,2023-01-04 00:00:00
430,3,402,Recommendation acceptance,456.04,0,33.67,0.6852,2022-12-16 00:00:00
431,3,543,Alert triage,387.48,5,51.37,0.7537,2023-01-15 00:00:00
432,3,543,Checkout completion,512.36,0,83.41,0.9649,2022-11-30 00:00:00
433,3,384,Checkout completion,146.65,6,53.97,0.6357,2022-12-27 00:00:00
434,3,384,Model output interpretation,84.32,1,60.71,0.3715,2022-12-07 00:00:00
435,3,384,Recommendation acceptance,234.37,0,77.02,0.9129,2022-12-09 00:00:00
436,3,384,Alert triage,195.63,6,78.79,0.3983,2022-12-09 00:00:00
437,3,384,Search & filter,452.65,8,89.69,0.4497,2022-12-02 00:00:00
438,3,190,Checkout completion,242.19,0,20.22,0.0207,2023-02-01 00:00:00
439,3,190,Model output interpretation,562.49,5,70.2,0.8665,2023-01-31 00:00:00
440,3,190,Dashboard navigation,530.42,4,65.88,0.6033,2023-01-08 00:00:00
441,3,610,Alert triage,389.5,5,48.19,0.7168,2023-01-28 00:00:00
442,3,610,Onboarding flow,555.44,3,84.59,0.8106,2022-12-25 00:00:00
443,3,610,Search & filter,235.87,2,59.38,0.1407,2022-11-28 00:00:00
444,3,610,Report export,545.02,3,17.04,0.6024,2022-12-03 00:00:00
445,3,530,Model output interpretation,201.0,4,88.92,0.9865,2022-12-07 00:00:00
446,3,530,Checkout completion,100.0,2,24.13,0.2178,2022-12-04 00:00:00
447,3,530,Dashboard navigation,502.45,8,41.96,0.8235,2022-12-25 00:00:00
448,3,530,Report export,511.02,7,14.38,0.842,2022-12-24 00:00:00
449,3,530,Recommendation acceptance,375.06,2,23.89,0.6918,2022-12-11 00:00:00
450,3,24,Anomaly identification,20.91,7,43.4,0.2852,2023-01-16 00:00:00
451,3,24,Recommendation acceptance,44.29,0,48.6,0.8491,2023-01-20 00:00:00
452,3,221,Search & filter,178.14,4,78.84,0.3637,2023-01-01 00:00:00
453,3,221,Dashboard navigation,83.68,0,88.12,0.3325,2023-02-06 00:00:00
454,3,221,Checkout completion,98.74,4,53.81,0.808,2023-01-08 00:00:00
455,3,221,Anomaly identification,380.55,3,43.31,0.9588,2023-01-17 00:00:00
456,3,512,Search & filter,576.44,6,27.93,0.4852,2023-02-08 00:00:00
457,3,512,Onboarding flow,476.02,2,26.2,0.9505,2023-01-27 00:00:00
458,3,512,Report export,25.38,8,43.82,0.8524,2023-02-02 00:00:00
459,3,512,Checkout completion,183.12,0,36.47,0.1087,2023-01-20 00:00:00
460,3,527,Checkout completion,219.61,6,60.69,0.3907,2023-01-22 00:00:00
461,3,527,Dashboard navigation,91.08,0,44.06,0.8164,2023-01-03 00:00:00
462,3,527,Recommendation acceptance,202.92,4,63.26,0.4571,2022-12-08 00:00:00
463,3,591,Recommendation acceptance,438.62,8,54.0,0.5108,2022-12-28 00:00:00
464,3,591,Report export,318.42,6,77.41,0.1188,2023-01-29 00:00:00
465,3,591,Dashboard navigation,139.86,4,28.58,0.7341,2023-01-19 00:00:00
466,3,291,Checkout completion,192.41,4,55.83,0.8987,2023-01-20 00:00:00
467,3,291,Anomaly identification,231.61,3,67.46,0.2203,2023-01-01 00:00:00
468,4,592,Search & filter,584.49,5,35.39,0.1963,2023-09-16 00:00:00
469,4,592,Alert triage,306.37,5,72.55,0.7938,2023-09-02 00:00:00
470,4,592,Anomaly identification,116.64,0,10.57,0.0496,2023-09-22 00:00:00
471,4,110,Checkout completion,351.54,1,65.25,0.7403,2023-08-25 00:00:00
472,4,110,Dashboard navigation,278.93,1,53.78,0.0026,2023-09-20 00:00:00
473,4,110,Report export,119.33,0,42.23,0.7586,2023-08-27 00:00:00
474,4,479,Report export,255.52,4,10.13,0.526,2023-09-25 00:00:00
475,4,479,Dashboard navigation,422.31,8,56.63,0.4564,2023-09-20 00:00:00
476,4,479,Anomaly identification,30.86,7,33.47,0.0931,2023-09-22 00:00:00
477,4,479,Alert triage,144.92,2,81.84,0.1372,2023-09-23 00:00:00
478,4,187,Checkout completion,471.4,6,44.06,0.1714,2023-09-17 00:00:00
479,4,187,Onboarding flow,443.6,0,59.29,0.5508,2023-09-10 00:00:00
480,4,187,Model output interpretation,47.4,7,63.35,0.8992,2023-09-24 00:00:00
481,4,187,Dashboard navigation,374.06,5,16.5,0.8354,2023-08-28 00:00:00
482,4,492,Recommendation acceptance,472.27,4,65.47,0.7339,2023-09-25 00:00:00
483,4,492,Search & filter,429.23,7,32.28,0.3334,2023-08-27 00:00:00
484,4,492,Anomaly identification,474.87,5,87.49,0.4233,2023-08-31 00:00:00
485,4,492,Checkout completion,281.81,5,80.88,0.741,2023-09-16 00:00:00
486,4,185,Report export,245.87,6,71.02,0.0723,2023-09-06 00:00:00
487,4,185,Search & filter,407.28,1,72.55,0.5436,2023-09-19 00:00:00
488,4,185,Dashboard navigation,588.16,6,10.1,0.789,2023-09-04 00:00:00
489,4,185,Onboarding flow,34.0,2,84.15,0.1286,2023-09-20 00:00:00
490,4,402,Anomaly identification,386.0,0,41.33,0.0316,2023-09-17 00:00:00
491,4,402,Report export,534.97,8,56.82,0.398,2023-09-22 00:00:00
492,4,402,Recommendation acceptance,550.34,1,38.88,0.6677,2023-09-17 00:00:00
493,4,751,Alert triage,491.5,0,14.01,0.1817,2023-08-29 00:00:00
494,4,751,Recommendation acceptance,197.74,8,14.87,0.1063,2023-09-05 00:00:00
495,4,314,Report export,502.25,3,25.77,0.1682,2023-09-23 00:00:00
496,4,314,Anomaly identification,303.77,5,43.29,0.0409,2023-09-24 00:00:00
497,4,314,Alert triage,469.02,3,60.02,0.4404,2023-09-11 00:00:00
498,4,314,Search & filter,582.26,4,79.93,0.3802,2023-09-08 00:00:00
499,4,498,Alert triage,483.73,7,80.79,0.9615,2023-08-31 00:00:00
500,4,498,Search & filter,412.25,2,83.66,0.814,2023-09-08 00:00:00
501,4,745,Search & filter,218.5,2,68.35,0.5711,2023-09-12 00:00:00
502,4,745,Report export,276.05,8,16.63,0.0793,2023-08-24 00:00:00
503,4,745,Anomaly identification,33.62,7,46.77,0.8647,2023-08-30 00:00:00
504,4,745,Checkout completion,374.57,3,34.26,0.1381,2023-09-24 00:00:00
505,4,745,Recommendation acceptance,46.57,6,46.09,0.1165,2023-09-20 00:00:00
506,4,433,Recommendation acceptance,523.92,1,17.35,0.3171,2023-09-03 00:00:00
507,4,433,Anomaly identification,74.02,1,61.37,0.5944,2023-08-24 00:00:00
508,4,433,Report export,109.4,2,26.01,0.6642,2023-09-07 00:00:00
509,4,433,Dashboard navigation,26.82,5,85.78,0.7777,2023-08-25 00:00:00
510,4,421,Search & filter,582.26,3,74.94,0.8375,2023-09-25 00:00:00
511,4,421,Anomaly identification,437.86,8,15.37,0.444,2023-09-23 00:00:00
512,4,421,Report export,430.04,8,60.93,0.7316,2023-09-14 00:00:00
513,4,605,Anomaly identification,215.06,6,32.16,0.7572,2023-08-29 00:00:00
514,4,605,Checkout completion,368.12,5,69.06,0.7483,2023-08-29 00:00:00
515,4,605,Search & filter,536.72,6,76.34,0.4115,2023-09-19 00:00:00
516,4,605,Alert triage,26.06,6,26.3,0.2105,2023-09-05 00:00:00
517,4,744,Model output interpretation,578.81,3,43.72,0.7135,2023-09-20 00:00:00
518,4,744,Recommendation acceptance,450.72,5,19.18,0.7748,2023-09-10 00:00:00
519,4,744,Search & filter,565.35,4,15.51,0.7456,2023-08-29 00:00:00
520,4,744,Anomaly identification,297.25,6,26.7,0.179,2023-08-31 00:00:00
521,4,285,Recommendation acceptance,450.82,1,30.84,0.3266,2023-09-12 00:00:00
522,4,285,Alert triage,192.51,8,20.08,0.0904,2023-09-04 00:00:00
523,4,285,Dashboard navigation,563.09,6,17.3,0.8912,2023-09-07 00:00:00
524,4,285,Model output interpretation,568.97,6,89.15,0.4731,2023-09-04 00:00:00
525,4,375,Anomaly identification,410.17,3,59.83,0.3836,2023-09-12 00:00:00
526,4,375,Recommendation acceptance,128.23,7,64.13,0.5628,2023-09-12 00:00:00
527,4,375,Checkout completion,35.03,8,19.93,0.7513,2023-08-30 00:00:00
528,4,375,Report export,200.52,2,16.47,0.184,2023-08-23 00:00:00
529,4,375,Alert triage,392.49,7,77.03,0.6977,2023-09-11 00:00:00
530,4,721,Search & filter,97.51,3,51.89,0.3188,2023-08-24 00:00:00
531,4,721,Recommendation acceptance,548.88,3,20.51,0.678,2023-08-30 00:00:00
532,4,721,Onboarding flow,52.99,0,73.32,0.7815,2023-08-30 00:00:00
533,4,721,Checkout completion,192.31,6,62.52,0.3065,2023-09-11 00:00:00
534,4,505,Search & filter,126.2,5,43.69,0.1269,2023-09-12 00:00:00
535,4,505,Checkout completion,119.43,3,59.85,0.9148,2023-09-05 00:00:00
536,4,505,Alert triage,536.44,5,49.81,0.1473,2023-09-16 00:00:00
537,4,505,Anomaly identification,51.51,7,57.68,0.7996,2023-08-30 00:00:00
538,4,505,Dashboard navigation,444.0,6,73.94,0.2809,2023-09-03 00:00:00
539,4,26,Recommendation acceptance,346.59,6,63.0,0.2329,2023-08-24 00:00:00
540,4,26,Dashboard navigation,209.8,1,54.19,0.0694,2023-09-12 00:00:00
541,4,26,Alert triage,490.84,7,75.22,0.9154,2023-08-27 00:00:00
542,4,26,Search & filter,102.6,4,12.36,0.2734,2023-09-02 00:00:00
543,4,413,Recommendation acceptance,274.36,8,51.8,0.5999,2023-09-22 00:00:00
544,4,413,Alert triage,85.2,0,78.97,0.6041,2023-09-16 00:00:00
545,4,413,Dashboard navigation,340.6,3,50.7,0.6819,2023-09-12 00:00:00
546,4,398,Dashboard navigation,577.54,2,76.95,0.6296,2023-09-24 00:00:00
547,4,398,Alert triage,371.27,8,25.49,0.4038,2023-09-05 00:00:00
548,4,398,Model output interpretation,436.02,8,16.69,0.4795,2023-09-19 00:00:00
549,4,398,Recommendation acceptance,275.85,0,18.35,0.7215,2023-08-27 00:00:00
550,4,319,Alert triage,158.35,0,29.33,0.9424,2023-09-22 00:00:00
551,4,319,Onboarding flow,283.41,1,62.44,0.787,2023-09-15 00:00:00
552,4,262,Model output interpretation,63.06,3,88.8,0.5756,2023-08-24 00:00:00
553,4,262,Onboarding flow,349.31,3,31.88,0.1018,2023-09-11 00:00:00
554,4,262,Anomaly identification,238.44,4,66.25,0.4727,2023-09-11 00:00:00
555,4,262,Alert triage,566.35,5,67.1,0.0309,2023-08-23 00:00:00
556,4,269,Search & filter,327.62,8,47.1,0.679,2023-09-02 00:00:00
557,4,269,Report export,61.94,8,58.7,0.0682,2023-08-24 00:00:00
558,4,269,Checkout completion,158.44,6,22.68,0.8641,2023-09-18 00:00:00
559,4,141,Recommendation acceptance,20.92,3,38.62,0.0976,2023-09-05 00:00:00
560,4,141,Model output interpretation,364.92,8,28.54,0.7789,2023-09-14 00:00:00
561,4,141,Alert triage,269.97,2,39.33,0.3281,2023-09-04 00:00:00
562,4,141,Search & filter,167.32,5,84.05,0.8254,2023-08-27 00:00:00
563,4,302,Search & filter,159.48,7,24.07,0.9817,2023-09-22 00:00:00
564,4,302,Report export,235.18,8,54.92,0.8128,2023-08-26 00:00:00
565,4,302,Dashboard navigation,143.68,3,42.09,0.2335,2023-09-12 00:00:00
566,4,552,Checkout completion,379.91,6,36.87,0.442,2023-08-28 00:00:00
567,4,552,Dashboard navigation,189.88,5,24.93,0.7499,2023-09-11 00:00:00
568,5,175,Checkout completion,182.66,6,71.1,0.4895,2021-12-09 00:00:00
569,5,175,Dashboard navigation,144.45,7,35.36,0.8377,2021-12-19 00:00:00
570,5,175,Report export,538.47,2,44.74,0.6157,2021-12-04 00:00:00
571,5,175,Alert triage,475.05,5,47.18,0.3843,2021-12-08 00:00:00
572,5,386,Recommendation acceptance,590.26,1,11.78,0.5602,2021-12-11 00:00:00
573,5,386,Alert triage,195.18,5,22.95,0.4993,2021-12-07 00:00:00
574,5,386,Checkout completion,237.83,5,16.13,0.135,2021-12-18 00:00:00
575,5,722,Recommendation acceptance,468.27,6,74.19,0.641,2021-12-10 00:00:00
576,5,722,Onboarding flow,175.84,0,13.02,0.3449,2021-12-06 00:00:00
577,5,722,Checkout completion,147.82,8,77.57,0.3479,2021-12-05 00:00:00
578,5,722,Model output interpretation,51.33,4,52.18,0.6921,2021-12-18 00:00:00
579,5,722,Alert triage,594.52,7,74.0,0.7259,2021-12-16 00:00:00
580,5,474,Search & filter,167.13,3,66.35,0.8573,2021-12-15 00:00:00
581,5,474,Model output interpretation,287.7,0,38.58,0.5226,2021-12-15 00:00:00
582,5,11,Anomaly identification,428.28,0,44.55,0.9952,2021-12-11 00:00:00
583,5,11,Alert triage,275.12,0,88.87,0.793,2021-12-04 00:00:00
584,5,171,Recommendation acceptance,508.89,5,72.29,0.262,2021-12-19 00:00:00
585,5,171,Model output interpretation,198.01,0,57.91,0.3118,2021-12-09 00:00:00
586,5,241,Anomaly identification,287.72,5,23.48,0.8846,2021-12-11 00:00:00
587,5,241,Dashboard navigation,281.53,5,53.77,0.2225,2021-12-18 00:00:00
588,5,241,Recommendation acceptance,160.84,2,19.33,0.7054,2021-12-14 00:00:00
589,5,121,Checkout completion,254.35,5,18.16,0.8398,2021-12-19 00:00:00
590,5,121,Anomaly identification,553.55,6,69.57,0.5988,2021-12-11 00:00:00
591,5,617,Dashboard navigation,584.41,3,42.37,0.931,2021-12-20 00:00:00
592,5,617,Onboarding flow,47.97,2,21.81,0.6709,2021-12-19 00:00:00
593,5,617,Search & filter,423.85,4,36.39,0.4999,2021-12-15 00:00:00
594,5,617,Model output interpretation,353.31,2,78.57,0.2842,2021-12-15 00:00:00
595,5,437,Model output interpretation,316.46,3,65.05,0.1748,2021-12-16 00:00:00
596,5,437,Report export,56.56,7,34.38,0.4058,2021-12-07 00:00:00
597,5,437,Search & filter,527.47,7,22.91,0.4663,2021-12-10 00:00:00
598,5,437,Checkout completion,101.44,4,79.15,0.2541,2021-12-15 00:00:00
599,5,437,Dashboard navigation,580.89,2,28.31,0.995,2021-12-06 00:00:00
600,5,786,Onboarding flow,432.74,3,40.81,0.356,2021-12-15 00:00:00
601,5,786,Dashboard navigation,281.33,5,49.51,0.376,2021-12-18 00:00:00
602,5,30,Alert triage,373.43,3,27.23,0.5792,2021-12-16 00:00:00
603,5,30,Search & filter,94.72,0,80.28,0.0316,2021-12-17 00:00:00
604,5,30,Model output interpretation,112.45,5,59.26,0.8626,2021-12-20 00:00:00
605,5,444,Report export,77.08,5,65.82,0.0858,2021-12-13 00:00:00
606,5,444,Recommendation acceptance,323.42,5,82.79,0.4048,2021-12-11 00:00:00
607,5,444,Onboarding flow,322.81,8,69.88,0.7895,2021-12-13 00:00:00
608,5,444,Anomaly identification,36.33,2,79.39,0.2334,2021-12-08 00:00:00
609,5,269,Recommendation acceptance,292.05,8,40.74,0.9418,2021-12-07 00:00:00
610,5,269,Anomaly identification,28.72,7,28.84,0.4451,2021-12-16 00:00:00
611,5,581,Recommendation acceptance,411.21,8,18.51,0.0819,2021-12-13 00:00:00
612,5,581,Dashboard navigation,403.04,0,33.56,0.8796,2021-12-11 00:00:00
613,5,581,Anomaly identification,131.54,5,34.06,0.058,2021-12-06 00:00:00
614,5,581,Alert triage,410.16,2,87.56,0.9014,2021-12-20 00:00:00
615,5,581,Model output interpretation,152.27,1,79.5,0.108,2021-12-06 00:00:00
616,5,307,Anomaly identification,462.67,4,13.73,0.9417,2021-12-19 00:00:00
617,5,307,Report export,420.11,3,33.23,0.3039,2021-12-12 00:00:00
618,5,307,Checkout completion,34.67,5,80.61,0.8381,2021-12-17 00:00:00
619,5,307,Search & filter,99.76,3,87.71,0.694,2021-12-20 00:00:00
620,5,675,Recommendation acceptance,521.52,5,11.53,0.1941,2021-12-11 00:00:00
621,5,675,Onboarding flow,369.58,3,87.05,0.8145,2021-12-13 00:00:00
622,5,675,Anomaly identification,330.69,0,63.38,0.1256,2021-12-12 00:00:00
623,5,675,Report export,496.58,3,69.12,0.0365,2021-12-05 00:00:00
624,5,142,Report export,595.45,0,42.36,0.7597,2021-12-12 00:00:00
625,5,142,Onboarding flow,236.54,6,12.63,0.9116,2021-12-13 00:00:00
626,5,165,Anomaly identification,348.15,4,46.9,0.2926,2021-12-15 00:00:00
627,5,165,Checkout completion,128.44,2,84.73,0.7759,2021-12-07 00:00:00
628,5,165,Dashboard navigation,572.78,0,22.74,0.828,2021-12-19 00:00:00
629,5,165,Search & filter,173.79,7,14.12,0.9814,2021-12-17 00:00:00
630,5,165,Onboarding flow,242.14,0,63.26,0.8833,2021-12-07 00:00:00
631,5,664,Model output interpretation,381.9,2,63.67,0.6214,2021-12-11 00:00:00
632,5,664,Onboarding flow,189.61,6,66.03,0.1948,2021-12-08 00:00:00
633,5,664,Search & filter,558.22,5,67.43,0.1162,2021-12-07 00:00:00
634,5,664,Dashboard navigation,216.78,1,44.62,0.2371,2021-12-06 00:00:00
635,5,177,Report export,221.18,4,35.74,0.6715,2021-12-06 00:00:00
636,5,177,Model output interpretation,105.48,6,59.61,0.2813,2021-12-08 00:00:00
637,5,177,Anomaly identification,339.89,7,31.02,0.4761,2021-12-14 00:00:00
638,5,221,Checkout completion,247.59,0,71.77,0.8535,2021-12-06 00:00:00
639,5,221,Model output interpretation,192.81,6,40.05,0.8337,2021-12-08 00:00:00
640,5,785,Search & filter,245.58,0,45.5,0.0965,2021-12-15 00:00:00
641,5,785,Dashboard navigation,377.45,2,48.74,0.9551,2021-12-18 00:00:00
642,5,785,Onboarding flow,182.49,2,76.81,0.0967,2021-12-16 00:00:00
643,5,785,Report export,32.72,4,57.33,0.987,2021-12-07 00:00:00
644,5,666,Model output interpretation,374.29,7,22.72,0.063,2021-12-11 00:00:00
645,5,666,Dashboard navigation,528.02,8,20.03,0.6591,2021-12-05 00:00:00
646,5,666,Search & filter,42.47,2,57.09,0.5873,2021-12-12 00:00:00
647,5,666,Recommendation acceptance,200.07,7,86.56,0.8455,2021-12-15 00:00:00
648,5,762,Dashboard navigation,142.4,0,14.24,0.0787,2021-12-08 00:00:00
649,5,762,Checkout completion,83.76,0,45.59,0.9092,2021-12-07 00:00:00
650,5,662,Checkout completion,371.81,2,49.94,0.8149,2021-12-03 00:00:00
651,5,662,Dashboard navigation,56.36,6,23.63,0.6677,2021-12-10 00:00:00
652,5,662,Alert triage,254.21,3,12.27,0.753,2021-12-12 00:00:00
653,5,43,Recommendation acceptance,259.33,2,64.22,0.4638,2021-12-07 00:00:00
654,5,43,Onboarding flow,471.57,0,22.93,0.2877,2021-12-08 00:00:00
655,5,43,Dashboard navigation,472.92,2,75.11,0.8282,2021-12-19 00:00:00
656,5,43,Report export,345.11,1,66.06,0.5684,2021-12-03 00:00:00
657,5,289,Checkout completion,41.21,7,22.75,0.2491,2021-12-11 00:00:00
658,5,289,Report export,167.49,3,49.27,0.2842,2021-12-18 00:00:00
659,5,289,Search & filter,111.98,6,77.27,0.6444,2021-12-03 00:00:00
660,5,289,Dashboard navigation,118.57,5,16.84,0.5183,2021-12-09 00:00:00
661,5,584,Report export,312.54,5,56.37,0.5485,2021-12-17 00:00:00
662,5,584,Alert triage,552.36,6,18.08,0.8689,2021-12-06 00:00:00
663,5,584,Search & filter,258.95,5,61.99,0.3007,2021-12-20 00:00:00
664,5,584,Model output interpretation,126.65,5,65.47,0.9651,2021-12-16 00:00:00
665,5,584,Checkout completion,83.56,5,84.41,0.1232,2021-12-09 00:00:00
666,5,361,Recommendation acceptance,268.52,2,15.51,0.9884,2021-12-20 00:00:00
667,5,361,Report export,137.87,4,24.45,0.0472,2021-12-06 00:00:00
668,5,361,Search & filter,133.57,8,20.47,0.0158,2021-12-09 00:00:00
669,5,361,Anomaly identification,485.02,8,72.42,0.4818,2021-12-13 00:00:00
670,5,204,Report export,441.29,0,31.36,0.3832,2021-12-03 00:00:00
671,5,204,Model output interpretation,231.1,4,54.66,0.0334,2021-12-04 00:00:00
672,5,204,Alert triage,126.35,3,75.07,0.4037,2021-12-17 00:00:00
673,5,146,Alert triage,305.02,4,53.18,0.1771,2021-12-19 00:00:00
674,5,146,Report export,276.95,6,44.49,0.0093,2021-12-12 00:00:00
